label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
enc0_k01_single_d03,Enc0 best/only viable singleton control,enc0:3,[3],0,PASS,Completed the full matched RGB-D sequence,47.76385458000004,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2540205785676362,0.23936299467127164,0.22914359446183583,0.521144685803231,0.0850400559609259,18.131100036411837,17.543644493212344,25.64089877838883,0.020588312322894597,0.3645281209074455,1.187772320985678,15.567437175213298,0.2523407485253609,0.23673117021435394,1.0362730686724893,0.25982495736214595,0.2454324401998543,1.0356370593332782,429,0.259748,0.245318,0.025176,571,1.317529,5602.675536999999,0,0.77,0.993,1816000000.0,0.393968,83,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_k01_single_d03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_k01_single_d03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_k01_single_d03/replicate_0.log,2026-08-16T10:15:43.137359+00:00
enc0_k02_d02_d14,Enc0 best two-channel configuration,"enc0:2,14","[2, 14]",0,PASS,Completed the full matched RGB-D sequence,45.49359908999759,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1312969440216982,0.12546995647960651,0.13176979409428013,0.20250668333412034,0.038680454113707116,10.951232563323357,10.663890791125631,15.085561988025383,0.009344622074058194,0.06993463256367971,0.5639297752977641,3.0580824603714927,0.1151308992387464,0.107800086536258,1.0789144225300207,0.11147615624101906,0.10334527441550852,1.0828480507439888,429,0.111478,0.103332,0.011982,571,2.730416,1000.458252,0,0.87,0.993,463600.0,0.005879,9,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_k02_d02_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_k02_d02_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_k02_d02_d14/replicate_0.log,2026-08-16T10:16:29.263883+00:00
enc0_global_rank02_k03_d03_d07_d12,Enc0 global rank 2; best three-channel configuration,"enc0:3,7,12","[3, 7, 12]",0,PASS,Completed the full matched RGB-D sequence,45.45569949600031,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.09326600329356742,0.08797280937982409,0.08534297821731512,0.16408201537241354,0.030973087998726577,7.117200215105091,6.439193318376405,11.454680426205497,0.011031877772606707,0.10688265635997747,0.7579433269246888,8.313029796965509,0.07201878304508959,0.06465242496840973,1.0733121565929014,0.06576394037299164,0.0601298591014434,1.0750598090523062,432,0.065652,0.060004,0.01487,571,4.615495,58.715185000000005,0,0.897,0.993,51830.0,0.006103,13,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.log,2026-08-16T10:17:15.347325+00:00
enc0_global_rank03_k04_d02_d03_d12_d14,Enc0 global rank 3; best fixed four-channel configuration,"enc0:2,3,12,14","[2, 3, 12, 14]",0,PASS,Completed the full matched RGB-D sequence,44.66265415798989,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10636148827016563,0.10188279763300435,0.10279221972367229,0.17277895528822057,0.03053951102288417,7.589203132108019,7.241116827935771,11.893837098474211,0.009070570205201953,0.05208213475638593,0.6380440860856054,6.231450056606628,0.07795484006807933,0.06998284626163848,1.0910490909290602,0.07033479761585935,0.06409016878885751,1.0963558190588552,432,0.070152,0.063905,0.012391,571,6.006932,42.8152695,0,0.899,0.993,40380.0,0.004242,13,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.log,2026-08-16T10:18:00.646553+00:00
enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,Enc0 global rank 1 / accuracy-first configuration,"enc0:2,3,7,12,13,14","[2, 3, 7, 12, 13, 14]",0,PASS,Completed the full matched RGB-D sequence,45.15809467501822,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10134148428395612,0.09695135802809891,0.09616570023685944,0.17535767364389945,0.029504755775683088,7.084381841076872,6.730074101791274,10.781860911569082,0.00858763379785899,0.03782081096333694,0.5797250638508179,6.255272716841811,0.06719066007535628,0.06256357010573997,1.0957749597773676,0.06415824364529799,0.05936392097286242,1.0973007488832296,430,0.064001,0.059208,0.010943,571,9.070444,56.796276,0,0.899,0.993,70150.0,0.005348,10,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.log,2026-08-16T10:18:46.438936+00:00
enc0_all16,Enc0 all-channel control,enc0:all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,PASS,Completed the full matched RGB-D sequence,45.68669560100534,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.15760437012825643,0.14636600079361273,0.14017203317328442,0.30480151473840256,0.05844767998140397,7.97759816269143,7.719387446241944,11.88961986196324,0.010483385939912337,0.09068865101155739,0.7041357760222134,8.589208222744716,0.1411851714644025,0.13030334233037685,1.0887716444178521,0.14075699712492867,0.12954137986018555,1.0924760577085497,436,0.140689,0.129502,0.01327,571,36.345081,235.6076505,0,0.896,0.993,11730.0,0.002621,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_all16/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_all16/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_all16/replicate_0.log,2026-08-16T10:19:32.743422+00:00
enc0_bqs_top5_d00_d03_d10_d14_d15,"Enc0 historical BQS-selected top-5 control, re-evaluated by direct full sequence","enc0:0,3,10,14,15","[0, 3, 10, 14, 15]",0,PASS,Completed the full matched RGB-D sequence,45.22038777000853,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1724161497749357,0.1636645031399549,0.17353544904223736,0.25952156467787985,0.054233376394659,11.166731093105042,10.82108561835215,16.148614700592354,0.012804071358934112,0.191451528591902,0.6163218387775907,6.546514969535741,0.14471955363878297,0.13357862071007026,1.1225514173241138,0.14817476626621146,0.1373698464797761,1.1223007881699116,435,0.148016,0.137216,0.015924,571,9.992242,175.80830400000002,0,0.897,0.992,6029.0,0.003134,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.log,2026-08-16T10:20:18.599547+00:00
enc1_k02_d00_d05,Enc1 minimum viable two-channel configuration,"enc1:0,5","[0, 5]",0,PASS,Completed the full matched RGB-D sequence,48.40226617400185,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11997500599371913,0.11229060205595066,0.11483665644258102,0.21632801545656097,0.042247162663367935,9.48010132651611,8.518534812176707,14.157667929728134,0.010659976685302433,0.07770533343540975,0.7701438743608986,8.549508662202625,0.09402055846497849,0.08745129810879092,1.0942220684737864,0.08928922325223955,0.08091030819275143,1.097790930471081,427,0.089196,0.080837,0.013788,571,3.259017,316.855194,0,0.895,0.993,182200.0,0.012227,51,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc1_k02_d00_d05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc1_k02_d00_d05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc1_k02_d00_d05/replicate_0.log,2026-08-16T10:21:07.633398+00:00
enc1_global_rank03_k04_d00_d05_d18_d30,Enc1 global rank 3; best fixed four-channel configuration,"enc1:0,5,18,30","[0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,49.525426990003325,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11500784837805184,0.10476307154324838,0.09967855788545982,0.26033816090942974,0.04745001611562617,8.55855593330101,7.853841751401745,14.366342116392982,0.013693213801692474,0.2192709507416018,1.043973572725086,13.914066308271957,0.09525052098269764,0.0828976841584259,1.0804751725001092,0.07997210647996193,0.07178479538991293,1.0836124193076069,428,0.079869,0.071673,0.018872,571,7.957666,328.889038,0,0.895,0.993,495900.0,0.008188,55,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.log,2026-08-16T10:21:57.780986+00:00
enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,Enc1 global rank 1 / accuracy-first configuration,"enc1:5,6,17,18,28,30","[5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,52.45164066000143,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11764025181269325,0.11004043962499521,0.11801261232542136,0.19569018018349207,0.0415972414192535,9.298914254924126,8.389827390343834,14.211105236706263,0.010365173074343877,0.1219261556329229,0.7737093718828812,9.633790891631545,0.08974666551056706,0.0776548421510808,1.0962896222779401,0.07831483486221937,0.06743084671241803,1.0998278898851972,435,0.078211,0.067335,0.013403,571,26.93091,297.5011905,0,0.893,0.993,318700.0,0.013243,40,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_lightswitch/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.log,2026-08-16T10:22:50.859069+00:00
