label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_baseline,Photometric grayscale baseline; no learned tracking features.,gray,,0,PASS,Completed the full matched RGB-D sequence,126.49474392499542,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.13934537085279866,0.11795247565800494,0.08721236685006709,0.2931503287073995,0.07419127889618657,3.8875567013911625,3.685854547308249,6.614950263557993,0.004575096896276293,0.024062508434796646,0.2354766602783226,1.0373538357875811,0.13698484347843734,0.11791422133013321,0.9877637470950404,0.12183430811503553,0.10594200833230019,0.9915604018124133,252,0.121834,0.105942,0.007648,2486,1.844411,2.63076725,0,0.854,0.994,8707.0,0.003548,8,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/gray_baseline/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/gray_baseline/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/gray_baseline/replicate_0.log,2026-08-23T14:54:26.590097+00:00
resnet_layer2_direct_c4_d67_d108_d121,"Direct coarse parent C4, selected because it is the coarse component of the global C2F optimum.","resnet:direct:layer2:67,108,121","[67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,139.10147269204026,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,1.0029010781899055,0.7908404636225282,0.4612352843905049,2.3803701841446583,0.6167511116583247,27.3751573400896,25.113764722410195,44.09918283908386,0.009323218072945848,0.035033801520822715,0.347171758710155,1.502448379682438,0.8913627225148905,0.7742828120503319,0.8021913595971442,0.777951118451395,0.6755514779775572,0.845138866498625,231,0.777951,0.675551,0.02972,2486,4.120283499999999,4.821777,0,0.841,0.994,4164.0,0.006165,229,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.log,2026-08-23T14:56:46.446018+00:00
resnet_layer2_direct_c5_d108_d121,"Direct coarse parent C5, selected because it produces the strongest C2F synergy with F6.","resnet:direct:layer2:108,121","[108, 121]",0,PASS,Completed the full matched RGB-D sequence,141.44855554203968,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.9198566083964346,0.7227933690482544,0.4642131938556291,2.215036865193034,0.5689516022215471,23.927320249712267,21.917726336743343,37.972376415151544,0.009570068315949677,0.037957261304501895,0.3560288149677928,1.3312341178221396,0.8116147505260644,0.6991179599556392,0.8144436127425394,0.7038997792890231,0.6046804605405133,0.8536804536595337,236,0.7039,0.60468,0.027025,2486,2.7975459999999996,3.7865444999999998,0,0.855,0.995,5644.0,0.007398,232,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.log,2026-08-23T14:59:08.639463+00:00
resnet_conv1_direct_f1_d15_d20_d26_d34,Direct fine parent F1: global direct Conv1 optimum on fr1/desk_lightswitch.,"resnet:direct:conv1:15,20,26,34","[15, 20, 26, 34]",0,PASS,Completed the full matched RGB-D sequence,134.10640804300783,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.15753362661404605,0.13025400212412544,0.08541122695804718,0.34726491936386256,0.08860439292056572,4.395229208749579,4.143244520109499,7.4091666025960645,0.0046732876870069035,0.024392098123365354,0.23175118964264618,0.9817004362462481,0.15440546054364143,0.13064894416234804,0.9850658266682855,0.13601495229629176,0.11630193374997058,0.988997795334244,248,0.136015,0.116302,0.007421,2486,8.567152499999999,10.3948645,0,0.845,0.993,14640.0,0.006845,1,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.log,2026-08-23T15:01:23.494821+00:00
resnet_conv1_direct_f2_d23_d24_d26_d51_d63,"Direct fine parent F2, used by both A/B schedule tests of the global C2F pair.","resnet:direct:conv1:23,24,26,51,63","[23, 24, 26, 51, 63]",0,PASS,Completed the full matched RGB-D sequence,130.77781930897618,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1627296349954858,0.13393168336926645,0.10099882092879041,0.358963039601727,0.09242963970306599,4.453134335224867,4.220093725599046,7.099435805960192,0.0052793889911520765,0.027317441524172443,0.23506860636843002,1.083630561854245,0.15814462092857565,0.13381639592141167,0.981722266790504,0.13906973020173946,0.11877781218065361,0.9859408713978531,249,0.13907,0.118778,0.007446,2486,9.641707499999999,11.4089945,0,0.854,0.993,14860.0,0.005616,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.log,2026-08-23T15:03:35.004100+00:00
resnet_conv1_direct_f6_d29_d33_d52,"Direct fine parent F6, included because it has the largest observed C2F gain with C5.","resnet:direct:conv1:29,33,52","[29, 33, 52]",0,PASS,Completed the full matched RGB-D sequence,127.60471092001535,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.22568916862060084,0.18173056437253868,0.10285510679650103,0.4724669813004402,0.13382676415985173,6.275944123405089,5.870994315047718,9.422292201051208,0.004784493387691764,0.02543975470962327,0.2370806608869125,1.075986437196309,0.21975574371231338,0.18288654230069887,0.9755878241047142,0.1927676763518012,0.16154359591312079,0.98101049041903,249,0.192768,0.161544,0.008366,2486,4.111585,5.123429750000001,0,0.846,0.993,6196.0,0.004071,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.log,2026-08-23T15:05:43.349049+00:00
resnet_c2f_b_f1_c4_negative_high_parent,C2F-B negative high-parent control: worse than direct global Conv1 optimum F1 on fr1 lightswitch.,"resnet:c2f:B:fine15,20,26,34:coarse67,108,121","[15, 20, 26, 34, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,150.5174049999914,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.16929729204659122,0.1398390190431048,0.08859098223678949,0.3700544069306537,0.09542862174091676,4.6720294593585,4.392862712634751,7.769148777924097,0.0046784885883791785,0.02437797318517038,0.2311586650025125,0.9457790452218833,0.16556371489961436,0.1400995564840395,0.9831219957415416,0.14563367496445093,0.1241903533861214,0.9873466653666059,249,0.145634,0.12419,0.007688,2486,8.574922999999998,10.3433825,0,0.855,0.994,14630.0,0.006114,1,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.log,2026-08-23T15:08:14.601874+00:00
resnet_c2f_a_f2_c4_variant_negative,C2F-A schedule control: slightly worse than direct F2 on fr1 lightswitch.,"resnet:c2f:A:fine23,24,26,51,63:coarse67,108,121","[23, 24, 26, 51, 63, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,153.8011616159929,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.3220197842485539,0.2603539690869845,0.16955896971761464,0.6698317767371905,0.18950607438322048,8.346122275443836,7.727612869144293,12.421616357636717,0.005656972176547972,0.02890384691131489,0.2439052245612823,0.8313658928588264,0.3074343508084632,0.2593176441127897,0.9552059672308654,0.26912603543243296,0.22698597805653026,0.9647007811090365,250,0.269126,0.226986,0.009467,2486,9.5530645,11.49234525,0,0.855,0.994,15650.0,0.00995,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.log,2026-08-23T15:10:49.158218+00:00
resnet_c2f_b_f2_c4_global_best,C2F-B global ResNet C2F optimum on fr1 lightswitch; compare against both direct parents.,"resnet:c2f:B:fine23,24,26,51,63:coarse67,108,121","[23, 24, 26, 51, 63, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,147.50043420802103,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.17049784446704874,0.1404208030740461,0.10295172098311314,0.3564379536339719,0.09670322141454185,4.7045058662966275,4.467492368543134,6.896127552400672,0.005304506252621412,0.027281299535789148,0.2353894293635938,0.9530263449452455,0.16511977192862273,0.14009141466778113,0.9797893752793086,0.1453313973384594,0.12388514067489567,0.984458288841001,249,0.145331,0.123885,0.007479,2486,9.6372265,11.401789749999999,0,0.845,0.993,14840.0,0.005379,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.log,2026-08-23T15:13:17.401061+00:00
resnet_c2f_a_f6_c5_positive_synergy,C2F-A positive synergy case: 32.9% lower fr1-lightswitch ATE than direct F6.,"resnet:c2f:A:fine29,33,52:coarse108,121","[29, 33, 52, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,151.79793387500104,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.2695123383317017,0.21671541687451987,0.12523881446064244,0.5590407992516102,0.16022274683054433,7.36282195052381,6.846015556993718,11.16020103708931,0.004892421233990136,0.024644252016445198,0.2380137575968848,1.0175823101838337,0.26099359808776784,0.21763765643344263,0.9682436807049162,0.22839598507038777,0.1912988923608596,0.9754079590691653,253,0.228396,0.191299,0.008603,2486,4.1291775,5.15410125,0,0.841,0.994,6240.0,0.013898,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_flashlight/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.log,2026-08-23T15:15:49.932766+00:00
