label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_baseline,Photometric grayscale baseline; no learned tracking features.,gray,,0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,20.196932730003027,-15,1305031462.4276,249,,,,573,,,,,,,,,,,,,,,,,,,,,,,,248,1.756223,1404.877905399999,1,0.0,0.993,1246000.0,0.014408,52,,,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/gray_baseline/replicate_0.log,2026-08-23T12:32:20.360173+00:00
resnet_layer2_direct_c4_d67_d108_d121,"Direct coarse parent C4, selected because it is the coarse component of the global C2F optimum.","resnet:direct:layer2:67,108,121","[67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,48.35176894598408,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.23306005149293188,0.2222373028839384,0.2092005455261349,0.40488534142093663,0.07019664385681623,15.239397570107812,14.818442402901324,23.182554168208025,0.012398659180685544,0.08664561937894548,0.70348738147474,5.13128450084821,0.17493963749576213,0.1627688644962325,1.220354410734954,0.17070331722261745,0.15981707464028777,1.2347649700772458,424,0.170469,0.159524,0.015904,571,4.132959,6.8624425,0,0.905,0.994,78810.0,0.006077,337,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.log,2026-08-23T12:33:09.359833+00:00
resnet_layer2_direct_c5_d108_d121,"Direct coarse parent C5, selected because it produces the strongest C2F synergy with F6.","resnet:direct:layer2:108,121","[108, 121]",0,PASS,Completed the full matched RGB-D sequence,50.094256532989675,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.24123904332385915,0.22959442419220147,0.22174103564903264,0.3996814429526871,0.07404509709401584,16.49711119992117,15.92594375672762,24.485496827086028,0.012996677999415611,0.07580681560221614,0.7824203156399739,6.796921839881397,0.18713539035102966,0.17577344351075344,1.2181099476790493,0.17772491902537646,0.16640894460826117,1.245424910484301,426,0.177533,0.166202,0.018269,571,2.87044,5.7074765,0,0.897,0.994,79920.0,0.007537,300,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.log,2026-08-23T12:34:00.087602+00:00
resnet_conv1_direct_f1_d15_d20_d26_d34,Direct fine parent F1: global direct Conv1 optimum on fr1/desk_lightswitch.,"resnet:direct:conv1:15,20,26,34","[15, 20, 26, 34]",0,PASS,Completed the full matched RGB-D sequence,47.01349473299342,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1491771706440811,0.14157881090920463,0.15014319820606253,0.3754566163308882,0.04700285675263768,10.141972400128461,9.469133578731705,29.903565504780932,0.01713372137719136,0.3338946472631419,1.4112130208244396,29.58017410350902,0.13419775750281415,0.12418769000535834,1.0819499337365077,0.11555652045162575,0.10372886814085466,1.0984170771060189,423,0.115553,0.103758,0.011819,571,7.961127,22058.317871,0,0.894,0.993,270400.0,0.007591,11,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.log,2026-08-23T12:34:47.741017+00:00
resnet_conv1_direct_f2_d23_d24_d26_d51_d63,"Direct fine parent F2, used by both A/B schedule tests of the global C2F pair.","resnet:direct:conv1:23,24,26,51,63","[23, 24, 26, 51, 63]",0,PASS,Completed the full matched RGB-D sequence,49.16241686101421,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.14521647531106116,0.13413822428799813,0.1467871617363187,0.2321408604608137,0.05563058049877557,10.651403064615685,9.632321991007895,15.941112064029612,0.010624198240677887,0.0698772114214147,0.796733240606362,9.064054859975,0.12437249304586756,0.11221575602924781,1.0952881287190985,0.11734826431612294,0.10463247427647512,1.105750489783073,422,0.117247,0.104535,0.013227,571,9.833856,536.6706085,0,0.894,0.993,383600.0,0.992262,77,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.log,2026-08-23T12:35:37.546901+00:00
resnet_conv1_direct_f6_d29_d33_d52,"Direct fine parent F6, included because it has the largest observed C2F gain with C5.","resnet:direct:conv1:29,33,52","[29, 33, 52]",0,PASS,Completed the full matched RGB-D sequence,43.34584390700911,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1906092396600409,0.17919533598682197,0.1778430056955167,0.33478713656441095,0.06496856012217668,18.543867889668174,17.49899795754237,39.67565634335845,0.014916709751593704,0.17042420737147015,1.0151836545945598,14.765222502664477,0.16763513171090313,0.1553104040478134,1.118812461272618,0.16395251880026535,0.1468208761369384,1.134024857042554,416,0.163824,0.146721,0.023481,571,4.525485,38627.14316429993,11,0.825,0.993,112800.0,0.004651,17,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.log,2026-08-23T12:36:21.547965+00:00
resnet_c2f_b_f1_c4_negative_high_parent,C2F-B negative high-parent control: worse than direct global Conv1 optimum F1 on fr1 lightswitch.,"resnet:c2f:B:fine15,20,26,34:coarse67,108,121","[15, 20, 26, 34, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,50.08919933598372,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1543438093354079,0.1483085538976866,0.16056394353929737,0.23479137200816294,0.04273855777798003,8.51020761017561,7.936130171800574,13.961626214261747,0.009118534916658858,0.07703832672175648,0.5535457658379334,4.8213132707313004,0.12744370140767883,0.11967046798547128,1.1124656268969906,0.11912009927915282,0.11035817802314456,1.1251935325992235,429,0.119056,0.110315,0.011463,571,7.928446,3643.347412,0,0.895,0.993,711100.0,0.01834,10,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.log,2026-08-23T12:37:12.285620+00:00
resnet_c2f_a_f2_c4_variant_negative,C2F-A schedule control: slightly worse than direct F2 on fr1 lightswitch.,"resnet:c2f:A:fine23,24,26,51,63:coarse67,108,121","[23, 24, 26, 51, 63, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,53.19806774597964,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.15695772860551754,0.14754887645186843,0.16004229680856039,0.2596981198369521,0.053526233071219974,9.628195412683539,8.994208328319633,16.061315738669723,0.00960668828984386,0.07726334757774397,0.5839044357178679,5.295123141550475,0.1275554495910867,0.11477648936691627,1.1188249078482821,0.11638064896636871,0.1056203806634962,1.1342348521147934,427,0.116225,0.105465,0.01195,571,9.753637,128.60998949999998,0,0.899,0.993,506700.0,0.939595,65,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.log,2026-08-23T12:38:06.139875+00:00
resnet_c2f_b_f2_c4_global_best,C2F-B global ResNet C2F optimum on fr1 lightswitch; compare against both direct parents.,"resnet:c2f:B:fine23,24,26,51,63:coarse67,108,121","[23, 24, 26, 51, 63, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,51.94224107899936,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.14451528981027661,0.13571812705768938,0.14905692976400275,0.23350334412817136,0.049651374370717344,8.697546381637224,8.119422485656694,14.461842340200064,0.009229500875106147,0.0710230135896043,0.5637489053789725,5.43917174701419,0.11509530832710743,0.10281139699437555,1.1126875258441533,0.10406898770121309,0.09343882724420105,1.1257866919531718,425,0.103918,0.093293,0.011472,571,9.780146,479.8577115,0,0.895,0.993,517900.0,0.011558,68,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.log,2026-08-23T12:38:58.718040+00:00
resnet_c2f_a_f6_c5_positive_synergy,C2F-A positive synergy case: 32.9% lower fr1-lightswitch ATE than direct F6.,"resnet:c2f:A:fine29,33,52:coarse108,121","[29, 33, 52, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,52.889857418020256,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1523907269842859,0.14446522640706722,0.15289398681116184,0.25260816616675563,0.048504969126409954,10.520375728079324,10.060963437805608,16.946322325774265,0.010390755663400943,0.11226150134778837,0.5704622316864034,2.564659874186816,0.11875754276737621,0.10501917544822308,1.1245153516868036,0.11143919984357696,0.09874535124366896,1.1341004449933847,428,0.111185,0.09849,0.013358,571,4.55183,450.016525,0,0.896,0.992,56040.0,0.006121,17,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr1_desk_lightswitch/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.log,2026-08-23T12:39:52.261319+00:00
