stage,label,replicate,candidate_key,channels_json,source_label,role,metadata_json,created_at
anchors,bqs_historical_top4,0,"4,9,10,15","[4, 9, 10, 15]",bqs_historical_top4,"historical BQS-greedy path Top-4 prefix, re-evaluated here","{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-14T15:57:47.419657+00:00
anchors,bqs_historical_top5,0,"4,9,10,15,30","[4, 9, 10, 15, 30]",bqs_historical_top5,"historical BQS-greedy Top-5, re-evaluated here","{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-14T15:57:47.426013+00:00
anchors,gray_current,0,gray,,gray_current,current photometric gray control,"{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-14T15:57:47.406597+00:00
anchors,unet_all32,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",unet_all32,unselected UNet enc1 all-32-channel control,"{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-14T15:57:47.413283+00:00
direct_greedy,g_pair_seed_sweep_d00_d01,0,"0,1","[0, 1]",g_pair_seed_sweep_d00_d01,fallback exhaustive two-channel full-sequence seed sweep,"{""cardinality"": 2, ""fallback_reason"": ""all_singletons_failed"", ""phase"": ""pair_seed_fallback"", ""reused_existing_evaluation"": true}",2026-08-14T15:57:47.646326+00:00
direct_greedy,g_pair_seed_sweep_d00_d02,0,"0,2","[0, 2]",g_pair_seed_sweep_d00_d02,fallback exhaustive two-channel full-sequence seed sweep,"{""cardinality"": 2, ""fallback_reason"": ""all_singletons_failed"", ""phase"": ""pair_seed_fallback"", ""reused_existing_evaluation"": false}",2026-08-14T15:58:53.763453+00:00
direct_greedy,g_pair_seed_sweep_d00_d03,0,"0,3","[0, 3]",g_pair_seed_sweep_d00_d03,fallback exhaustive two-channel full-sequence seed sweep,"{""cardinality"": 2, ""fallback_reason"": ""all_singletons_failed"", ""phase"": ""pair_seed_fallback"", ""reused_existing_evaluation"": false}",2026-08-14T15:59:40.292342+00:00
direct_greedy,g_pair_seed_sweep_d00_d04,0,"0,4","[0, 4]",g_pair_seed_sweep_d00_d04,fallback exhaustive two-channel full-sequence seed sweep,"{""cardinality"": 2, ""fallback_reason"": ""all_singletons_failed"", ""phase"": ""pair_seed_fallback"", ""reused_existing_evaluation"": false}",2026-08-14T16:00:29.752220+00:00
direct_greedy,g_pair_seed_sweep_d00_d05,0,"0,5","[0, 5]",g_pair_seed_sweep_d00_d05,fallback exhaustive two-channel full-sequence seed sweep,"{""cardinality"": 2, ""fallback_reason"": ""all_singletons_failed"", ""phase"": ""pair_seed_fallback"", ""reused_existing_evaluation"": false}",2026-08-14T16:01:17.777515+00:00
direct_greedy,g_pair_seed_sweep_d00_d06,0,"0,6","[0, 6]",g_pair_seed_sweep_d00_d06,fallback exhaustive two-channel full-sequence seed sweep,"{""cardinality"": 2, ""fallback_reason"": ""all_singletons_failed"", ""phase"": ""pair_seed_fallback"", ""reused_existing_evaluation"": false}",2026-08-14T16:01:51.308108+00:00
