dataset_order,dataset_key,dataset_family,dataset_condition,c2f_label,c2f_variant,c2f_configuration,c2f_status,c2f_ate_mean_cm,fine_parent_label,fine_parent_status,fine_parent_ate_mean_cm,coarse_parent_label,coarse_parent_status,coarse_parent_ate_mean_cm,best_direct_parent_label,best_direct_parent_ate_mean_cm,comparison_status,delta_vs_fine_cm,percent_delta_vs_fine,beats_fine_parent,delta_vs_better_direct_parent_cm,percent_delta_vs_better_direct_parent,beats_better_direct_parent
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_f1_c4_negative_high_parent,A,"C2F-A; fine enc0[d2,d3,d7,d12,d13,d14]; coarse enc1[d0,d5,d6,d18,d30]",PASS,6.499199999999999,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,PASS,9.8457,unet_enc1_direct_c4_d00_d05_d06_d18_d30,PASS,8.1456,unet_enc1_direct_c4_d00_d05_d06_d18_d30,8.1456,COMPARABLE,-3.3465000000000016,-33.98945732654866,True,-1.6464000000000008,-20.212139068945206,True
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_f2_c4_global_best,A,"C2F-A; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d6,d18,d30]",PASS,6.858599999999999,unet_enc0_direct_f2_d03_d07_d12,PASS,11.4312,unet_enc1_direct_c4_d00_d05_d06_d18_d30,PASS,8.1456,unet_enc1_direct_c4_d00_d05_d06_d18_d30,8.1456,COMPARABLE,-4.572600000000001,-40.00104975855554,True,-1.2870000000000008,-15.799941072480857,True
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_f5_c4_positive_synergy,A,"C2F-A; fine enc0[d2,d3,d7,d12,d13]; coarse enc1[d0,d5,d6,d18,d30]",PASS,7.236199999999999,unet_enc0_direct_f5_d02_d03_d07_d12_d13,PASS,7.388699999999999,unet_enc1_direct_c4_d00_d05_d06_d18_d30,PASS,8.1456,unet_enc0_direct_f5_d02_d03_d07_d12_d13,7.388699999999999,COMPARABLE,-0.15249999999999986,-2.0639625373881723,True,-0.15249999999999986,-2.0639625373881723,True
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_b_f2_c2_variant_contrast,B,"C2F-B; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d6,d17,d18,d30]",PASS,8.313600000000001,unet_enc0_direct_f2_d03_d07_d12,PASS,11.4312,unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,PASS,13.694799999999999,unet_enc0_direct_f2_d03_d07_d12,11.4312,COMPARABLE,-3.1175999999999995,-27.272727272727266,True,-3.1175999999999995,-27.272727272727266,True
2,fr1_desk_lightswitch,fr1_desk,lightswitch,unet_c2f_a_f1_c4_negative_high_parent,A,"C2F-A; fine enc0[d2,d3,d7,d12,d13,d14]; coarse enc1[d0,d5,d6,d18,d30]",PASS,6.532399999999999,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,PASS,5.9208,unet_enc1_direct_c4_d00_d05_d06_d18_d30,PASS,7.6408000000000005,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,5.9208,COMPARABLE,0.6115999999999993,10.32968517767868,False,0.6115999999999993,10.32968517767868,False
2,fr1_desk_lightswitch,fr1_desk,lightswitch,unet_c2f_a_f2_c4_global_best,A,"C2F-A; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d6,d18,d30]",PASS,5.8765,unet_enc0_direct_f2_d03_d07_d12,PASS,6.0004,unet_enc1_direct_c4_d00_d05_d06_d18_d30,PASS,7.6408000000000005,unet_enc0_direct_f2_d03_d07_d12,6.0004,COMPARABLE,-0.1238999999999999,-2.0648623425104975,True,-0.1238999999999999,-2.0648623425104975,True
2,fr1_desk_lightswitch,fr1_desk,lightswitch,unet_c2f_a_f5_c4_positive_synergy,A,"C2F-A; fine enc0[d2,d3,d7,d12,d13]; coarse enc1[d0,d5,d6,d18,d30]",PASS,6.1874,unet_enc0_direct_f5_d02_d03_d07_d12_d13,PASS,7.095899999999999,unet_enc1_direct_c4_d00_d05_d06_d18_d30,PASS,7.6408000000000005,unet_enc0_direct_f5_d02_d03_d07_d12_d13,7.095899999999999,COMPARABLE,-0.9084999999999992,-12.803168026606905,True,-0.9084999999999992,-12.803168026606905,True
2,fr1_desk_lightswitch,fr1_desk,lightswitch,unet_c2f_b_f2_c2_variant_contrast,B,"C2F-B; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d6,d17,d18,d30]",PASS,6.3454,unet_enc0_direct_f2_d03_d07_d12,PASS,6.0004,unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,PASS,6.9553,unet_enc0_direct_f2_d03_d07_d12,6.0004,COMPARABLE,0.34499999999999975,5.749616692220514,False,0.34499999999999975,5.749616692220514,False
3,fr1_desk_flashlight,fr1_desk,flashlight,unet_c2f_a_f1_c4_negative_high_parent,A,"C2F-A; fine enc0[d2,d3,d7,d12,d13,d14]; coarse enc1[d0,d5,d6,d18,d30]",PASS,8.0548,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,PASS,9.7913,unet_enc1_direct_c4_d00_d05_d06_d18_d30,PASS,9.2241,unet_enc1_direct_c4_d00_d05_d06_d18_d30,9.2241,COMPARABLE,-1.7364999999999995,-17.735132209206128,True,-1.1692999999999998,-12.676575492459966,True
3,fr1_desk_flashlight,fr1_desk,flashlight,unet_c2f_a_f2_c4_global_best,A,"C2F-A; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d6,d18,d30]",PASS,7.9201999999999995,unet_enc0_direct_f2_d03_d07_d12,PASS,8.1473,unet_enc1_direct_c4_d00_d05_d06_d18_d30,PASS,9.2241,unet_enc0_direct_f2_d03_d07_d12,8.1473,COMPARABLE,-0.22710000000000008,-2.7874265093957518,True,-0.22710000000000008,-2.7874265093957518,True
3,fr1_desk_flashlight,fr1_desk,flashlight,unet_c2f_a_f5_c4_positive_synergy,A,"C2F-A; fine enc0[d2,d3,d7,d12,d13]; coarse enc1[d0,d5,d6,d18,d30]",PASS,8.0831,unet_enc0_direct_f5_d02_d03_d07_d12_d13,PASS,10.5885,unet_enc1_direct_c4_d00_d05_d06_d18_d30,PASS,9.2241,unet_enc1_direct_c4_d00_d05_d06_d18_d30,9.2241,COMPARABLE,-2.5054,-23.661519573121783,True,-1.141,-12.369770492514174,True
