label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_current,current photometric gray control,gray,,0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,20.015510397031903,-15,1305031462.4276,249,,,,573,,,,,,,,,,,,,,,,,,,,,,,,248,1.756223,1404.877905399999,1,0.0,0.993,1246000.0,0.014408,52,,,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/gray_current/replicate_0.log,2026-08-14T13:41:52.007415+00:00
unet_all32,unselected UNet enc1 all-32-channel control,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0,PASS,Completed the full matched RGB-D sequence,53.35974973300472,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2155958729906376,0.20302634782168505,0.19138756749603367,0.43662735135476677,0.07253883470792254,10.087521713249936,9.655560392774687,15.559027833741927,0.009806895729647288,0.08392603153180524,0.7572479504326022,10.428124389018627,0.20611271406202764,0.19019495347667653,1.080806839804361,0.20457464401892964,0.18926795821268227,1.092167194096664,427,0.204569,0.189322,0.011759,571,112.707428,708.89209,0,0.909,0.993,108500.0,0.021044,20,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/unet_all32/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/unet_all32/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/unet_all32/replicate_0.log,2026-08-14T13:42:46.020507+00:00
bqs_historical_top4,"historical BQS-greedy path Top-4 prefix, re-evaluated here","4,9,10,15","[4, 9, 10, 15]",0,PASS,Completed the full matched RGB-D sequence,52.48357890092302,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1957017336715164,0.1824380967531331,0.17846881678319898,0.3536653592647348,0.07082026133199144,13.467375707858306,12.475872469062349,21.13055441325603,0.014734130856063794,0.23019665150743937,0.8095988290695438,10.025371824642146,0.1884291247396298,0.17114766985554303,1.0663098517456628,0.19489693507360245,0.17890113113456974,1.0593562810043216,430,0.19453,0.178502,0.018733,571,52.400196,143.693085,0,0.897,0.992,16950.0,0.004147,40,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/bqs_historical_top4/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/bqs_historical_top4/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/bqs_historical_top4/replicate_0.log,2026-08-14T13:43:39.130138+00:00
bqs_historical_top5,"historical BQS-greedy Top-5, re-evaluated here","4,9,10,15,30","[4, 9, 10, 15, 30]",0,PASS,Completed the full matched RGB-D sequence,52.519570782082155,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1985563391296819,0.1855735729708543,0.1800388911219264,0.3616436832772295,0.0706191816959971,14.38595841994242,13.48998716923748,21.77719701902844,0.01297740875080543,0.14887916762808423,0.83103976042307,10.016451208072267,0.19261792500745628,0.17650280115352077,1.0601855874253914,0.20028182309208875,0.18535341489749935,1.0549237002980238,430,0.199903,0.18494,0.017334,571,53.709606,232.21822350000002,0,0.894,0.993,30050.0,0.007066,50,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/bqs_historical_top5/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/bqs_historical_top5/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/bqs_historical_top5/replicate_0.log,2026-08-14T13:44:32.284783+00:00
g_singleton_d00,direct full-sequence singleton ATE sweep,0,[0],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,18.644933409057558,-15,1305031458.7916,150,,,,573,,,,,,,,,,,,,,,,,,,,,,,,149,3.6387905,45.30852795000001,1,0.0,0.995,767000000.0,0.017954,59,,,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/g_singleton_d00/replicate_0.log,2026-08-14T13:44:50.978745+00:00
g_singleton_d01,direct full-sequence singleton ATE sweep,1,[1],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,18.682207644102164,-15,1305031458.7916,150,,,,573,,,,,,,,,,,,,,,,,,,,,,,,149,2.5692055,63.06837770000003,1,0.0,0.995,272100000.0,0.025423,80,,,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/g_singleton_d01/replicate_0.log,2026-08-14T13:45:09.695603+00:00
g_singleton_d02,direct full-sequence singleton ATE sweep,2,[2],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,16.699654306983575,-15,1305031458.8276,151,,,,573,,,,,,,,,,,,,,,,,,,,,,,,150,8.408715,10.878917,1,0.0,0.997,13930000000000.0,26.284061,101,,,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/g_singleton_d02/replicate_0.log,2026-08-14T13:45:26.434135+00:00
g_singleton_d03,direct full-sequence singleton ATE sweep,3,[3],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,23.986273007001728,-15,1305031463.5956,284,,,,573,,,,,,,,,,,,,,,,,,,,,,,,283,1.4016685,1627.3598751999996,1,0.0,0.994,942000000.0,0.453497,17,,,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/g_singleton_d03/replicate_0.log,2026-08-14T13:45:50.454214+00:00
g_singleton_d04,direct full-sequence singleton ATE sweep,4,[4],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,25.212808715063147,-15,1305031463.3956,278,,,,573,,,,,,,,,,,,,,,,,,,,,,,,277,1.2624374999999999,2272.2824705000003,1,0.0,0.994,738500000.0,0.429178,82,,,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/g_singleton_d04/replicate_0.log,2026-08-14T13:46:15.708102+00:00
g_singleton_d05,direct full-sequence singleton ATE sweep,5,[5],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,24.690628680051304,-15,1305031463.4956,281,,,,573,,,,,,,,,,,,,,,,,,,,,,,,280,1.198926,1174.7169069999945,1,0.0,0.995,45260000.0,0.180583,121,,,/home/melody/code/individual_project/channel_selection_results/step_j_unet_direct_fullseq_greedy/artifacts/g_singleton_d05/replicate_0.log,2026-08-14T13:46:40.441678+00:00
