label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
enc0_k01_single_d03,Enc0 best/only viable singleton control,enc0:3,[3],0,PASS,Completed the full matched RGB-D sequence,132.38048158600577,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.19102034842648605,0.15892860526237065,0.1013244642037443,0.3767364212842164,0.1059739210482169,5.831161122014248,5.611312062855863,8.945718280596017,0.00466252453909172,0.02732084777412076,0.24553993769328444,1.0455576260821153,0.18810591217675438,0.1597597254525744,0.9841022102827952,0.16680617855862775,0.14234026195162605,0.9891689477775454,251,0.166806,0.14234,0.007976,2486,1.128958,1.47780875,0,0.844,0.993,12120.0,0.004614,11,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_k01_single_d03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_k01_single_d03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_k01_single_d03/replicate_0.log,2026-08-16T12:27:56.432416+00:00
enc0_k02_d02_d14,Enc0 best two-channel configuration,"enc0:2,14","[2, 14]",0,PASS,Completed the full matched RGB-D sequence,126.77857490399037,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1546910940003413,0.12915109988138238,0.09691711556454541,0.34119419276532703,0.08514298539780968,4.217170454009046,3.990446211842948,6.783190010338074,0.004529942087670143,0.025364278209907557,0.23690124747317678,0.9542278430355843,0.15109646410113822,0.12876405626306792,0.9841660305159509,0.13305548615655974,0.11409326859398887,0.988664575115774,252,0.133055,0.114093,0.007195,2486,2.5450375000000003,3.0164355,0,0.844,0.993,17970.0,0.003381,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_k02_d02_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_k02_d02_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_k02_d02_d14/replicate_0.log,2026-08-16T12:30:03.950252+00:00
enc0_global_rank02_k03_d03_d07_d12,Enc0 global rank 2; best three-channel configuration,"enc0:3,7,12","[3, 7, 12]",0,PASS,Completed the full matched RGB-D sequence,124.66264396498445,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.14173954472371364,0.11757177782166858,0.08481391146308026,0.287405329817425,0.07916423181170786,3.8162907001217974,3.627170070661114,5.717124316898158,0.00461744744650974,0.025794738992994747,0.2314684186671877,0.9778699848045489,0.13835030961120434,0.11755621163741041,0.9852750815409816,0.12253557152598714,0.10403912084421765,0.9887355353912991,251,0.122536,0.104039,0.006998,2486,4.1374495,5.10656,0,0.855,0.993,21240.0,0.002981,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.log,2026-08-16T12:32:09.344009+00:00
enc0_global_rank03_k04_d02_d03_d12_d14,Enc0 global rank 3; best fixed four-channel configuration,"enc0:2,3,12,14","[2, 3, 12, 14]",0,PASS,Completed the full matched RGB-D sequence,124.54351070499979,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1473786059536859,0.12195326348124212,0.08286534730426307,0.30732941802256997,0.08275176746829374,4.102809429913195,3.8861136818111675,6.164469219125934,0.004604931265477184,0.026294804367530424,0.23317595917115455,0.9439063802449518,0.14448063411442227,0.12211263195901159,0.9860865982764668,0.12724338548876704,0.10780998701236938,0.9898954801819415,253,0.127243,0.10781,0.007081,2486,5.4766105,6.586736500000001,0,0.855,0.993,18270.0,0.004545,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.log,2026-08-16T12:34:14.622072+00:00
enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,Enc0 global rank 1 / accuracy-first configuration,"enc0:2,3,7,12,13,14","[2, 3, 7, 12, 13, 14]",0,PASS,Completed the full matched RGB-D sequence,123.3113696849905,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1379788678927813,0.11535951820980081,0.08656221849540299,0.2900772344633628,0.07569907227553209,3.69688031785652,3.503738884476284,5.673335142297823,0.004600330224572386,0.02559966837855731,0.23218227922073945,0.9487893598700915,0.13461083610563493,0.11501915795720817,0.98551725890611,0.1197129999129896,0.10280506740390377,0.9890381924970733,251,0.119713,0.102805,0.006966,2486,8.389045,10.11512625,0,0.845,0.993,21010.0,0.005175,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.log,2026-08-16T12:36:18.661078+00:00
enc0_all16,Enc0 all-channel control,enc0:all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,PASS,Completed the full matched RGB-D sequence,125.97118682699511,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1455120493214252,0.12160941116191583,0.08648427963874715,0.30457033769110164,0.07990561691503911,3.9077778173252185,3.7051272743766956,6.3936314579127185,0.004449367986630246,0.02296628123545486,0.23110304454046815,0.9668891975114329,0.14258812360221587,0.12149370484722617,0.986115211047459,0.12616005904233785,0.10809161193485135,0.9898196549519312,254,0.12616,0.108092,0.006641,2486,33.154337,40.629312750000004,0,0.855,0.993,9971.0,0.002741,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_all16/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_all16/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_all16/replicate_0.log,2026-08-16T12:38:25.370061+00:00
enc0_bqs_top5_d00_d03_d10_d14_d15,"Enc0 historical BQS-selected top-5 control, re-evaluated by direct full sequence","enc0:0,3,10,14,15","[0, 3, 10, 14, 15]",0,PASS,Completed the full matched RGB-D sequence,123.3363271629787,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.17471011767465708,0.14364107099768642,0.09610195159203624,0.3731170336734187,0.09945284279763016,4.745030813110187,4.46013494454273,7.7189719975999775,0.004569376317312302,0.026272021113000595,0.23138995360657055,0.9660325555048065,0.17108945976585901,0.14400756821438715,0.983106462474686,0.1496730686279398,0.1268889228077898,0.9877407271563358,253,0.149673,0.126889,0.007152,2486,8.263293,10.240809250000002,0,0.855,0.994,5727.0,0.002663,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.log,2026-08-16T12:40:29.433150+00:00
enc1_k02_d00_d05,Enc1 minimum viable two-channel configuration,"enc1:0,5","[0, 5]",0,PASS,Completed the full matched RGB-D sequence,132.9619687559898,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1986478299029463,0.15767844850170282,0.09665117750952468,0.42989817550874604,0.12082411681136243,5.32537761520527,4.873257536995902,8.60819481153693,0.0056417240851319135,0.033031906218514366,0.22798625267231903,0.8906861144797801,0.19321473733595027,0.15909627968039391,0.9780626393762596,0.16782325340985282,0.1387400492906736,0.9828926341891946,249,0.167823,0.13874,0.008833,2486,3.1084345,3.5895954999999997,0,0.845,0.993,12580.0,0.007178,26,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc1_k02_d00_d05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc1_k02_d00_d05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc1_k02_d00_d05/replicate_0.log,2026-08-16T12:42:43.130417+00:00
enc1_global_rank03_k04_d00_d05_d18_d30,Enc1 global rank 3; best fixed four-channel configuration,"enc1:0,5,18,30","[0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,140.37128521499108,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.21474667992589552,0.17150256143727385,0.10612654425342187,0.46426171938485483,0.12924011745448516,5.950983635667077,5.547860989958304,9.4737241263044,0.005349178262786432,0.030557321745020672,0.23037669157990265,0.9184852885962782,0.20939919327021908,0.17295620629451122,0.9773563067135975,0.18228212405374752,0.1513334904335524,0.9825687838149505,247,0.182282,0.151333,0.008304,2486,9.042851,10.978475750000001,0,0.845,0.993,12650.0,0.008265,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.log,2026-08-16T12:45:04.228515+00:00
enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,Enc1 global rank 1 / accuracy-first configuration,"enc1:5,6,17,18,28,30","[5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,150.3463776499848,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.20407808930382254,0.16950439217619281,0.10535765891137149,0.4265232777481936,0.11364914239394147,6.0944054625905135,5.747050670165483,9.266011531542667,0.0046625999991805585,0.028769680713680836,0.2348349009352419,1.089319862689808,0.20100587530855016,0.1703187016475431,0.9831346187122713,0.17733046343206738,0.15148739399072705,0.9887893847333403,249,0.17733,0.151487,0.007468,2486,32.743812500000004,54.1176965,0,0.853,0.993,8524.0,0.00599,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_clean/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.log,2026-08-16T12:47:35.302847+00:00
