label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
enc0_k01_single_d03,Enc0 best/only viable singleton control,enc0:3,[3],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,16.586984357010806,-15,1305031459.1276,158,,,,573,,,,,,,,,,,,,,,,,,,,,,,,157,1.329834,1.5156185,1,0.0,0.994,23810.0,0.006035,3,,,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_k01_single_d03/replicate_0.log,2026-08-16T10:25:49.772103+00:00
enc0_k02_d02_d14,Enc0 best two-channel configuration,"enc0:2,14","[2, 14]",0,PASS,Completed the full matched RGB-D sequence,45.91578663900145,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1941990456910905,0.17952063227145956,0.15973617913231394,0.36691815439005226,0.07406491704029414,13.185593271938194,12.86505155856333,18.073620334179626,0.009485040830004881,0.055192338884881544,0.6370596034067147,4.6802939645337585,0.19366667592257292,0.17715791280109106,1.0172216716580496,0.19207890883072729,0.175852472031832,1.0201182958142534,428,0.191933,0.175672,0.01116,571,2.76092,3.2867105,0,0.867,0.993,27990.0,0.005882,12,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_k02_d02_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_k02_d02_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_k02_d02_d14/replicate_0.log,2026-08-16T10:26:36.305972+00:00
enc0_global_rank02_k03_d03_d07_d12,Enc0 global rank 2; best three-channel configuration,"enc0:3,7,12","[3, 7, 12]",0,PASS,Completed the full matched RGB-D sequence,44.313053530000616,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10822484822384308,0.10374147685559067,0.1041892551953285,0.18853856594295423,0.030827321532932724,7.085057657959044,6.689955632769745,11.106291343161192,0.00971227406223716,0.09285440992966144,0.7032796636476544,10.402840270353698,0.0889470559864481,0.08285178873221964,1.0766468645897087,0.08710465003362909,0.0815513112302135,1.0796002814164372,429,0.087029,0.081473,0.01164,571,4.52067,5.2313445000000005,0,0.897,0.992,49590.0,0.00375,16,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.log,2026-08-16T10:27:21.251221+00:00
enc0_global_rank03_k04_d02_d03_d12_d14,Enc0 global rank 3; best fixed four-channel configuration,"enc0:2,3,12,14","[2, 3, 12, 14]",0,PASS,Completed the full matched RGB-D sequence,44.69459610400372,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.09769740449910563,0.0922794493549662,0.09692403549525183,0.16096075195440576,0.03208248856628944,7.015171680377391,6.836629137529387,10.132310919205288,0.008026417193045624,0.036996845197280914,0.4963952302034475,2.0459814127000766,0.07724455281435633,0.06923758475859605,1.0740923065724752,0.0684183107267516,0.05972408714713975,1.078299345422173,429,0.068444,0.059763,0.009435,571,5.928991,6.9408625,0,0.867,0.993,18890.0,0.004536,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.log,2026-08-16T10:28:06.581712+00:00
enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,Enc0 global rank 1 / accuracy-first configuration,"enc0:2,3,7,12,13,14","[2, 3, 7, 12, 13, 14]",0,PASS,Completed the full matched RGB-D sequence,45.010142706974875,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12100178361514881,0.11666360174521305,0.12173733348893184,0.1887071933506206,0.03210974409554865,8.004209599920967,7.506767912806757,11.870811312054364,0.013383325714804946,0.234267977333312,0.7090470060872004,10.818565703949446,0.1036163280736441,0.09567389982695976,1.0779281927019575,0.1062862760833357,0.09803887457156214,1.0782272272496494,427,0.106174,0.097913,0.016363,571,8.949043,10.482293,0,0.898,0.993,65480.0,0.005073,8,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.log,2026-08-16T10:28:52.238726+00:00
enc0_all16,Enc0 all-channel control,enc0:all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,PASS,Completed the full matched RGB-D sequence,45.18938677001279,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12744481070297933,0.12111602446594978,0.12605940031374266,0.20061077640701974,0.039662178365310344,8.380407865499137,7.967168138965416,12.710415901202202,0.01188071473740238,0.20896032110087123,0.5146327107233145,2.618598369109215,0.1033795372175113,0.09321501358557434,1.0943560990822347,0.10451132601510277,0.09271758150728865,1.0965637875369745,428,0.104376,0.092578,0.014592,571,36.248978,47.4708955,0,0.896,0.993,9373.0,0.002523,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_all16/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_all16/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_all16/replicate_0.log,2026-08-16T10:29:38.078124+00:00
enc0_bqs_top5_d00_d03_d10_d14_d15,"Enc0 historical BQS-selected top-5 control, re-evaluated by direct full sequence","enc0:0,3,10,14,15","[0, 3, 10, 14, 15]",0,PASS,Completed the full matched RGB-D sequence,44.74774400299066,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.13197156064456392,0.1276221073033175,0.12738375898950766,0.19118121480135145,0.033601942598938055,9.053214461072463,8.73738389375727,13.597648819917383,0.010337735691367986,0.14960307622193514,0.514931349418486,1.969110110517258,0.10439282928237803,0.0970653134148885,1.1030399671317999,0.10099949443733654,0.09191718265595514,1.1067448927833994,427,0.100921,0.091861,0.012641,571,10.737924,15.053922499999999,0,0.897,0.992,5114.0,0.002763,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.log,2026-08-16T10:30:23.471234+00:00
enc1_k02_d00_d05,Enc1 minimum viable two-channel configuration,"enc1:0,5","[0, 5]",0,PASS,Completed the full matched RGB-D sequence,48.10386190301506,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12774590795982596,0.12198590324839599,0.12668461934554434,0.2081079708889978,0.03792698787345631,8.843908850205418,8.3758534264956,12.786617484802091,0.009187811781987696,0.09444874179425317,0.5222396812278967,4.555183803997332,0.09577443207547831,0.08841925453023411,1.1082735119961433,0.09542499446400947,0.08833606041768528,1.10868477176461,426,0.095197,0.088094,0.010868,571,3.208767,3.9870514999999997,0,0.895,0.993,35570.0,0.011446,35,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc1_k02_d00_d05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc1_k02_d00_d05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc1_k02_d00_d05/replicate_0.log,2026-08-16T10:31:12.203752+00:00
enc1_global_rank03_k04_d00_d05_d18_d30,Enc1 global rank 3; best fixed four-channel configuration,"enc1:0,5,18,30","[0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,49.13589751900872,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.16621217532640564,0.1604995428321054,0.14568628746476514,0.27214299825906957,0.04320166637319646,10.039489070528912,9.627411937784094,13.944978011855763,0.008725664998669091,0.04723163025681602,0.7167835260438263,8.592333985778081,0.15309507106198028,0.14032460323115184,1.0816838611462605,0.15247431849729895,0.14005075479240414,1.0817782153054403,428,0.152347,0.139928,0.010092,571,7.914814,10.574983,0,0.906,0.993,63160.0,0.008735,40,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.log,2026-08-16T10:32:01.972470+00:00
enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,Enc1 global rank 1 / accuracy-first configuration,"enc1:5,6,17,18,28,30","[5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,51.77442524800426,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.13704330008798693,0.1303209042489102,0.13947173247360792,0.24467702897953658,0.04239490552828737,7.726486764291519,7.331997773231312,11.69349149718104,0.009701357235032484,0.11509225686448453,0.6963539501602034,9.358395200128628,0.11368483592984871,0.10611408660549146,1.0972907465257733,0.10788037961739255,0.10062143549556171,1.1048398350030757,428,0.107846,0.100602,0.011836,571,24.794834,37.4253655,0,0.893,0.992,38350.0,0.015722,21,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr1_desk_flashlight/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.log,2026-08-16T10:32:54.387951+00:00
