dataset_order,dataset_key,dataset_family,dataset_condition,expected_matched_frames,label,candidate_key,mode,variant,configuration,role,parent_labels,source_fr1_lightswitch_ate_mean_cm,status,reason,dataset_rank,coverage_ratio,trajectory_poses,associated_poses,elapsed_seconds,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,translation_rpe_max_cm,rotation_rpe_max_deg,photo_mse_nonfinite_count,crazy_affine_count
1,fr1_desk_clean,fr1_desk,clean,573,gray_baseline,gray,gray,,gray,Photometric grayscale baseline; no learned tracking features.,,,PASS,Completed the full matched RGB-D sequence,4,0.9965095986038395,571,571,44.234534531016834,7.3847,8.5987,0.9692,12.15545342403328,11.476238775136348,3.6253795953370505,1.9672819967498894,0,0
1,fr1_desk_clean,fr1_desk,clean,573,unet_enc1_direct_c4_d00_d05_d06_d18_d30,"unet:direct:enc1:0,5,6,18,30",direct,,"direct enc1[d0,d5,d6,d18,d30]","Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.",,7.6408,PASS,Completed the full matched RGB-D sequence,6,0.9965095986038395,571,571,49.90337212700979,8.1456,8.991200000000001,1.0782999999999998,11.887200450610505,11.261418470620278,7.1491127441599245,9.50541735967938,0,22
1,fr1_desk_clean,fr1_desk,clean,573,unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"unet:direct:enc1:0,5,6,17,18,30",direct,,"direct enc1[d0,d5,d6,d17,d18,d30]","Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.",,6.9553,PASS,Completed the full matched RGB-D sequence,10,0.9965095986038395,571,571,50.12718231001054,13.694799999999999,15.415899999999999,1.1255,16.76216940943578,15.683958859377755,9.19085088746889,9.626232741434963,0,28
1,fr1_desk_clean,fr1_desk,clean,573,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,"unet:direct:enc0:2,3,7,12,13,14",direct,,"direct enc0[d2,d3,d7,d12,d13,d14]",Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,,5.9208,PASS,Completed the full matched RGB-D sequence,8,0.9965095986038395,571,571,44.46612121901126,9.8457,11.0219,1.2796999999999998,11.983209964658162,11.229492389524086,17.379924152279653,6.8428475513732385,0,8
1,fr1_desk_clean,fr1_desk,clean,573,unet_enc0_direct_f2_d03_d07_d12,"unet:direct:enc0:3,7,12",direct,,"direct enc0[d3,d7,d12]",Direct fine parent F2: the three-channel near-optimum.,,6.0004,PASS,Completed the full matched RGB-D sequence,9,0.9965095986038395,571,571,43.95313089599949,11.4312,12.9,1.05,14.136961414707653,13.210862889643405,9.24797124302666,10.329065347527125,0,8
1,fr1_desk_clean,fr1_desk,clean,573,unet_enc0_direct_f5_d02_d03_d07_d12_d13,"unet:direct:enc0:2,3,7,12,13",direct,,"direct enc0[d2,d3,d7,d12,d13]","Direct fine parent F5, included because it has the clearest positive C2F synergy.",,7.0959,PASS,Completed the full matched RGB-D sequence,5,0.9965095986038395,571,571,44.47155082199606,7.388699999999999,7.9467,1.1358,10.526510136023091,9.970775570881727,10.295769602188045,10.281715828151633,0,16
1,fr1_desk_clean,fr1_desk,clean,573,unet_c2f_a_f1_c4_negative_high_parent,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,18,30",c2f,A,"C2F-A; fine enc0[d2,d3,d7,d12,d13,d14]; coarse enc1[d0,d5,d6,d18,d30]",C2F-A negative control: on fr1 lightswitch it is worse than the globally best direct fine parent F1.,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14|unet_enc1_direct_c4_d00_d05_d06_d18_d30,6.5324,PASS,Completed the full matched RGB-D sequence,1,0.9965095986038395,571,571,48.13848793201032,6.499199999999999,7.0749,1.1273,9.617553555860097,9.17650152034695,10.137045285661566,8.593232966150206,0,16
1,fr1_desk_clean,fr1_desk,clean,573,unet_c2f_a_f2_c4_global_best,"unet:c2f:A:fine3,7,12:coarse0,5,6,18,30",c2f,A,"C2F-A; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d6,d18,d30]",C2F-A global U-Net C2F optimum on fr1 lightswitch; compare against both direct parents.,unet_enc0_direct_f2_d03_d07_d12|unet_enc1_direct_c4_d00_d05_d06_d18_d30,5.8765,PASS,Completed the full matched RGB-D sequence,2,0.9965095986038395,571,571,48.268677179992665,6.858599999999999,7.537299999999999,1.0659999999999998,9.915563174208973,9.417293986822086,7.7147768191308845,9.67254269481774,0,16
1,fr1_desk_clean,fr1_desk,clean,573,unet_c2f_a_f5_c4_positive_synergy,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,18,30",c2f,A,"C2F-A; fine enc0[d2,d3,d7,d12,d13]; coarse enc1[d0,d5,d6,d18,d30]",C2F-A positive synergy case: 12.8% lower fr1-lightswitch ATE than direct F5.,unet_enc0_direct_f5_d02_d03_d07_d12_d13|unet_enc1_direct_c4_d00_d05_d06_d18_d30,6.1874,PASS,Completed the full matched RGB-D sequence,3,0.9965095986038395,571,571,48.633770865009865,7.236199999999999,8.0749,1.0959999999999999,10.242060534932214,9.691382086221253,6.598493902621322,9.814569890756204,0,16
1,fr1_desk_clean,fr1_desk,clean,573,unet_c2f_b_f2_c2_variant_contrast,"unet:c2f:B:fine3,7,12:coarse0,5,6,17,18,30",c2f,B,"C2F-B; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d6,d17,d18,d30]","C2F-B schedule contrast: on fr1 lightswitch it is worse than direct F2, despite the same fine scale family.",unet_enc0_direct_f2_d03_d07_d12|unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,6.3454,PASS,Completed the full matched RGB-D sequence,7,0.9965095986038395,571,571,46.71463238701108,8.313600000000001,9.1221,1.0865,11.164341489832708,10.529147214745379,9.167047826246561,9.902778996326923,0,16
