dataset_order,dataset_key,dataset_family,dataset_condition,source,standard_label,kind,id,label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
1,fr1_desk_clean,fr1_desk,clean,Step-Q:unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,unet_direct_fine01,direct_fine,4,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,"unet:direct:enc0:2,3,7,12,13,14","[2, 3, 7, 12, 13, 14]",0,PASS,Completed the full matched RGB-D sequence,44.46612121901126,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11983209964658162,0.11229492389524087,0.10676932273486552,0.19942925056445565,0.04182800704157835,7.707927316583764,7.0114878702032986,12.374021978794437,0.01079723064030089,0.17379924152279652,0.5747421463395407,6.8428475513732385,0.10756605516785991,0.09623815804750947,1.065113896724223,0.11041503108917905,0.09867290469481625,1.0638996084064767,427,0.110219,0.098457,0.012797,571,8.784326,10.221742500000001,0,0.898,0.992,41100.0,0.004929,8,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.log,2026-08-23T09:30:17.053569+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-Q:unet_enc0_direct_f2_d03_d07_d12,unet_direct_fine02,direct_fine,5,unet_enc0_direct_f2_d03_d07_d12,Direct fine parent F2: the three-channel near-optimum.,"unet:direct:enc0:3,7,12","[3, 7, 12]",0,PASS,Completed the full matched RGB-D sequence,43.95313089599949,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.14136961414707652,0.13210862889643404,0.1266542645647931,0.2917597496263541,0.05032571882444962,7.993343093143839,7.77823961807508,11.964796164636347,0.008956846641682774,0.09247971243026659,0.6560682264588276,10.329065347527125,0.13278402161053376,0.11815767439085836,1.059757326087172,0.1289710700585612,0.11423514402326042,1.0661183075555285,429,0.129,0.114312,0.0105,571,4.445487,5.0683115,0,0.87,0.992,49090.0,0.0041,8,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.log,2026-08-23T09:31:01.651606+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-R:new,unet_direct_fine03,direct_fine,1,unet_direct_fine03,Step-R direct fine rank 3,"unet:direct:enc0:2,3,12,14","[2, 3, 12, 14]",0,PASS,Completed the full matched RGB-D sequence,45.723356964999994,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.09936423060515806,0.09408335339089019,0.09767889520786951,0.16002874659765864,0.03196205466611782,7.157300209986477,6.705189343649115,11.112693414518619,0.010234700895001156,0.1534330211710396,0.5019892757225013,2.188722327638771,0.07662281441905185,0.06927226387040811,1.0786912058126086,0.07624017148254224,0.0682825524670837,1.080254092739975,429,0.076092,0.06813,0.012321,571,5.768164,6.7496785,0,0.899,0.992,18990.0,0.004755,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_fine03/replicate_0.log,2026-08-25T15:34:03.946627+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-R:new,unet_direct_fine04,direct_fine,2,unet_direct_fine04,Step-R direct fine rank 4,"unet:direct:enc0:2,4,6","[2, 4, 6]",0,PASS,Completed the full matched RGB-D sequence,44.61296157500004,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1495807785153033,0.14066786824553484,0.11837238812918886,0.30729131130864323,0.05086216810657079,9.243778084023667,8.80229895838446,15.562309742954538,0.010902625359281973,0.1665693924813797,0.6574219422756878,8.723477695064405,0.1378106978085155,0.12412745968242962,1.0725694849914744,0.13832598458687873,0.12556619450951895,1.0769972721912455,434,0.138256,0.125513,0.012974,571,7.253849,9.581475999999999,0,0.899,0.992,14280.0,0.003052,0,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_fine04/replicate_0.log,2026-08-25T15:34:49.189988+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-Q:unet_enc0_direct_f5_d02_d03_d07_d12_d13,unet_direct_fine05,direct_fine,6,unet_enc0_direct_f5_d02_d03_d07_d12_d13,"Direct fine parent F5, included because it has the clearest positive C2F synergy.","unet:direct:enc0:2,3,7,12,13","[2, 3, 7, 12, 13]",0,PASS,Completed the full matched RGB-D sequence,44.47155082199606,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10526510136023091,0.09970775570881728,0.1048840670118322,0.18547630290045455,0.03375062985916715,7.076912522338476,6.753823899478223,11.124144518409938,0.009426240967982473,0.10295769602188044,0.70483952380091,10.281715828151633,0.08275048238446159,0.07684011392994258,1.0811679373002248,0.0795229630381428,0.07394629052607529,1.085198187425723,427,0.079467,0.073887,0.011358,571,7.717355,8.907745,0,0.898,0.992,65270.0,0.005424,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.log,2026-08-23T09:31:46.780296+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-R:new,unet_direct_coarse01,direct_coarse,3,unet_direct_coarse01,Step-R direct coarse rank 1,"unet:direct:enc1:5,6,17,18,28,30","[5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,50.76729195799999,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.18251759012373842,0.16901195990904688,0.154727452094449,0.3913067406434708,0.06890303412970798,9.47582842808502,9.23986676975446,13.194363011689708,0.009793074874861035,0.09498411039119908,0.7621659526628849,9.64815997833485,0.17383828768481616,0.1536781131094492,1.0697412914350133,0.1718514399636803,0.1513183014482341,1.0775232803969923,428,0.171798,0.151311,0.011564,571,24.861935,46.252342,0,0.904,0.993,36210.0,0.011744,19,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_coarse01/replicate_0.log,2026-08-25T15:35:40.601214+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-Q:unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,unet_direct_coarse02,direct_coarse,3,unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.","unet:direct:enc1:0,5,6,17,18,30","[0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,50.12718231001054,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.16762169409435781,0.15683958859377756,0.14594671810288096,0.3525025532391857,0.059147069080361596,8.926114234128784,8.685729931798837,13.146465144788044,0.009463523094222756,0.0919085088746889,0.7233713914361929,9.626232741434963,0.15712261522264814,0.1403171283272543,1.0731815878186444,0.15417336050966227,0.1369107686370341,1.0812861239664298,427,0.154159,0.136948,0.011255,571,14.471186,20.003656499999998,0,0.893,0.993,133700.0,0.025682,28,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.log,2026-08-23T09:29:31.945991+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-R:new,unet_direct_coarse03,direct_coarse,4,unet_direct_coarse03,Step-R direct coarse rank 3,"unet:direct:enc1:0,5,18,30","[0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.02856073000004,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1367091920019144,0.1321554086612977,0.12278627198123021,0.24063370663563757,0.03499072933480656,9.237906211392833,8.702472950621749,13.783425188273508,0.009286683454500786,0.07424277994175504,0.6475073225971839,7.778439489730538,0.11982005113119851,0.10854249780407313,1.0826420797466547,0.12045366217864475,0.10886191445892567,1.0815333632267967,427,0.120264,0.108645,0.010899,571,7.848574,9.893029,0,0.896,0.993,50380.0,0.021646,31,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_direct_coarse03/replicate_0.log,2026-08-25T15:36:29.269518+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-Q:unet_enc1_direct_c4_d00_d05_d06_d18_d30,unet_direct_coarse04,direct_coarse,2,unet_enc1_direct_c4_d00_d05_d06_d18_d30,"Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.","unet:direct:enc1:0,5,6,18,30","[0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,49.90337212700979,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11887200450610505,0.11261418470620277,0.11930363255802644,0.20138048400224148,0.03806046319025441,7.977434028014852,7.589548207297139,12.044670494301029,0.008973378397831477,0.07149112744159924,0.7191684269694791,9.50541735967938,0.09487558541994306,0.08578600842644679,1.090224725510659,0.09000456228978285,0.08155257705366237,1.0934642214166252,428,0.089912,0.081456,0.010783,571,11.12286,16.1185475,0,0.893,0.993,120300.0,0.017557,22,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.log,2026-08-23T09:28:41.175619+00:00
1,fr1_desk_clean,fr1_desk,clean,Step-R:new,unet_c2f_a_fine01_coarse01,c2f,5,unet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"unet:c2f:A:fine2,3,7,12,13,14:coarse5,6,17,18,28,30","[2, 3, 7, 12, 13, 14, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,49.072391941000035,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11358389169836346,0.10705816795620045,0.1066789113451371,0.2162147205960481,0.037945343946359664,7.243698703280396,6.988664277639866,11.031773402039622,0.009091316364801073,0.08814505453745455,0.7018773353501451,9.782110884490361,0.09376922614207167,0.08587179953873454,1.0799816257622392,0.09139559863194795,0.08383440618322055,1.0844362633050064,427,0.09134,0.083773,0.010881,571,8.800344,10.24782,0,0.895,0.993,78630.0,0.003937,16,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-25T15:37:18.974896+00:00
