dataset_order,dataset_key,dataset_family,dataset_condition,expected_matched_frames,label,candidate_key,role,enc_level,channels,channel_count,source_fr1_lightswitch_ate_mean_cm,status,reason,dataset_rank,coverage_ratio,trajectory_poses,associated_poses,elapsed_seconds,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,rotation_ape_rmse_deg,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,h_cond_max,crazy_affine_count
1,fr1_desk_clean,fr1_desk,clean,573,enc0_k01_single_d03,enc0:3,Enc0 best/only viable singleton control,0,[3],1,24.5318,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,,,,,16.583684507990256,,,,,,,,,,,,1.322339,1.48963875,1,0.0,23820.0,3
1,fr1_desk_clean,fr1_desk,clean,573,enc0_k02_d02_d14,"enc0:2,14",Enc0 best two-channel configuration,0,"[2,14]",2,10.3332,PASS,Completed the full matched RGB-D sequence,1,0.9965095986038395,571,571,45.22992341697682,5.2678,6.1001,0.9415,8.945578788092227,8.486765435107003,14.195223473746843,0.8025067793771034,3.6398826975356013,0.4990588959224508,2.122676395224972,6.734475504543771,2.67535,3.175665,0,0.868,25870.0,0
1,fr1_desk_clean,fr1_desk,clean,573,enc0_global_rank02_k03_d03_d07_d12,"enc0:3,7,12",Enc0 global rank 2; best three-channel configuration,0,"[3,7,12]",3,6.0004,PASS,Completed the full matched RGB-D sequence,8,0.9965095986038395,571,571,43.6879536859924,11.4312,12.9,1.05,14.136961414707653,13.210862889643405,29.175974962635408,0.8956846641682774,9.24797124302666,0.6560682264588276,10.329065347527125,7.993343093143839,4.445487,5.0683115,0,0.87,49090.0,8
1,fr1_desk_clean,fr1_desk,clean,573,enc0_global_rank03_k04_d02_d03_d12_d14,"enc0:2,3,12,14",Enc0 global rank 3; best fixed four-channel configuration,0,"[2,3,12,14]",4,6.3905,PASS,Completed the full matched RGB-D sequence,2,0.9965095986038395,571,571,44.227075112983584,6.813,7.6092,1.2321,9.936423060515805,9.40833533908902,16.002874659765865,1.0234700895001156,15.34330211710396,0.5019892757225013,2.188722327638771,7.157300209986477,5.768164,6.7496785,0,0.899,18990.0,0
1,fr1_desk_clean,fr1_desk,clean,573,enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,"enc0:2,3,7,12,13,14",Enc0 global rank 1 / accuracy-first configuration,0,"[2,3,7,12,13,14]",6,5.9208,PASS,Completed the full matched RGB-D sequence,4,0.9965095986038395,571,571,44.41058297100244,9.8457,11.0219,1.2796999999999998,11.983209964658162,11.229492389524086,19.942925056445564,1.079723064030089,17.379924152279653,0.5747421463395407,6.8428475513732385,7.707927316583764,8.784326,10.221742500000001,0,0.898,41100.0,8
1,fr1_desk_clean,fr1_desk,clean,573,enc0_all16,enc0:all,Enc0 all-channel control,0,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",16,12.9502,PASS,Completed the full matched RGB-D sequence,7,0.9965095986038395,571,571,44.483896649006056,11.344,12.148399999999999,1.4163000000000001,14.021653144310767,13.503271168381337,24.06568699016482,1.1583381355932156,19.148796363540495,0.6420330606282639,9.309868923268535,8.445575388365667,35.388596,43.3653295,0,0.896,12010.0,0
1,fr1_desk_clean,fr1_desk,clean,573,enc0_bqs_top5_d00_d03_d10_d14_d15,"enc0:0,3,10,14,15","Enc0 historical BQS-selected top-5 control, re-evaluated by direct full sequence",0,"[0,3,10,14,15]",5,13.7216,PASS,Completed the full matched RGB-D sequence,3,0.9965095986038395,571,571,44.36527206597384,7.6514,8.727699999999999,0.9672999999999999,12.272130011084485,11.615486165150777,18.95256725639936,0.8132484777383773,3.7086115999881804,0.5064482029012825,1.9834290261537277,7.875831552715716,10.174167,13.3201845,0,0.871,5114.0,0
1,fr1_desk_clean,fr1_desk,clean,573,enc1_k02_d00_d05,"enc1:0,5",Enc1 minimum viable two-channel configuration,1,"[0,5]",2,8.0837,PASS,Completed the full matched RGB-D sequence,6,0.9965095986038395,571,571,47.64704921099474,10.9422,11.8459,1.0755000000000001,14.284674788122379,13.881254340622974,22.166725366636385,0.9090194912325165,8.438326513536571,0.6316880157664313,8.491172307370316,8.55863515126845,3.149159,3.8745564999999997,0,0.895,64590.0,28
1,fr1_desk_clean,fr1_desk,clean,573,enc1_global_rank03_k04_d00_d05_d18_d30,"enc1:0,5,18,30",Enc1 global rank 3; best fixed four-channel configuration,1,"[0,5,18,30]",4,7.1673,PASS,Completed the full matched RGB-D sequence,5,0.9965095986038395,571,571,48.71614181098994,10.864500000000001,12.026399999999999,1.0899,13.67091920019144,13.215540866129771,24.063370663563756,0.9286683454500786,7.424277994175505,0.6475073225971839,7.778439489730538,9.237906211392833,7.848574,9.893029,0,0.896,50380.0,31
1,fr1_desk_clean,fr1_desk,clean,573,enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,"enc1:5,6,17,18,28,30",Enc1 global rank 1 / accuracy-first configuration,1,"[5,6,17,18,28,30]",6,6.7335,PASS,Completed the full matched RGB-D sequence,11,0.9965095986038395,571,571,51.285219148994656,15.1311,17.1798,1.1563999999999999,18.251759012373842,16.90119599090469,39.13067406434708,0.9793074874861035,9.498411039119908,0.7621659526628849,9.64815997833485,9.47582842808502,24.861935,46.252342,0,0.904,36210.0,19
1,fr1_desk_clean,fr1_desk,clean,573,enc1_global_rank02_k06_d00_d05_d06_d17_d18_d30,"enc1:0,5,6,17,18,30",Enc1 global rank 2; direct greedy six-channel endpoint,1,"[0,5,6,17,18,30]",6,6.9553,PASS,Completed the full matched RGB-D sequence,9,0.9965095986038395,571,571,50.04017979101627,13.694799999999999,15.415899999999999,1.1255,16.76216940943578,15.683958859377755,35.25025532391857,0.9463523094222757,9.19085088746889,0.7233713914361929,9.626232741434963,8.926114234128784,14.471186,20.003656499999998,0,0.893,133700.0,28
