label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
enc0_k01_single_d03,Enc0 best/only viable singleton control,enc0:3,[3],0,PASS,Completed the full matched RGB-D sequence,133.40556986800016,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1912990035789124,0.16086512565505387,0.10691911864667095,0.38149931536040865,0.10352642231946622,5.840500768384918,5.645118594066912,8.800268958316591,0.004697956387202801,0.03249927151842153,0.24396238472557885,1.2097285474818458,0.18833589231155948,0.16147594050993888,0.9839613848918219,0.16744710038995037,0.14395961801587195,0.9891764396724547,253,0.167447,0.14396,0.008078,2486,1.1791805000000002,1.6124015,0,0.854,0.993,12930.0,0.005811,12,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_k01_single_d03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_k01_single_d03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_k01_single_d03/replicate_0.log,2026-08-16T15:10:50.207983+00:00
enc0_k02_d02_d14,Enc0 best two-channel configuration,"enc0:2,14","[2, 14]",0,PASS,Completed the full matched RGB-D sequence,128.74253447399997,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.16391213143533628,0.13572485943546475,0.08822275219890789,0.34008805068370956,0.0919018463519547,4.4566894819960625,4.218465726096259,7.210875598037965,0.004601045251572626,0.0239468792483031,0.24009228260982587,0.9802691090200115,0.16013442710839157,0.1357006987494906,0.9832994109198085,0.14101597566401342,0.11978858542566695,0.9879470371462546,254,0.141016,0.119789,0.007581,2486,2.6483334999999997,3.32786925,0,0.855,0.993,17970.0,0.003935,4,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_k02_d02_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_k02_d02_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_k02_d02_d14/replicate_0.log,2026-08-16T15:12:59.684631+00:00
enc0_global_rank02_k03_d03_d07_d12,Enc0 global rank 2; best three-channel configuration,"enc0:3,7,12","[3, 7, 12]",0,PASS,Completed the full matched RGB-D sequence,125.25332831900005,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.14226296702889416,0.11831846175978342,0.08313037404911308,0.2900625470064824,0.07899046394763674,3.9156509133940163,3.7236111628917232,5.836627657220044,0.004632802963026931,0.024902199259703436,0.23149190826855,0.947849270437334,0.13910291983325743,0.11836146528771085,0.9857422043046165,0.12297112619020228,0.10469302220694017,0.9893276335740491,253,0.122971,0.104693,0.007187,2486,4.1590575,5.07372175,0,0.855,0.993,21550.0,0.003227,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_global_rank02_k03_d03_d07_d12/replicate_0.log,2026-08-16T15:15:05.678524+00:00
enc0_global_rank03_k04_d02_d03_d12_d14,Enc0 global rank 3; best fixed four-channel configuration,"enc0:2,3,12,14","[2, 3, 12, 14]",0,PASS,Completed the full matched RGB-D sequence,124.42044012899987,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1370622604184657,0.11442257698858022,0.07863075191954984,0.2812856226342586,0.07545553065423201,3.9491275268503867,3.7617197855516085,5.910086852711405,0.004606983385818344,0.0249919808634619,0.23392782706202375,0.9671252531984771,0.13453288626965793,0.11457405971401116,0.9874476720684641,0.11876454775629264,0.1014568923190912,0.9911504712813355,253,0.118765,0.101457,0.007285,2486,5.5773315,6.71554275,0,0.855,0.993,18130.0,0.004545,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_global_rank03_k04_d02_d03_d12_d14/replicate_0.log,2026-08-16T15:17:10.825903+00:00
enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,Enc0 global rank 1 / accuracy-first configuration,"enc0:2,3,7,12,13,14","[2, 3, 7, 12, 13, 14]",0,PASS,Completed the full matched RGB-D sequence,124.43714349799984,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.13308940820132562,0.11202607737010806,0.08261470705587005,0.2750346283286466,0.07185366075883431,3.7004290333085814,3.5171339011181355,5.672359633173015,0.004592890055866716,0.024762335618857302,0.2321377588216331,0.933994549425096,0.13017608131318148,0.11179034433598677,0.9867479955307323,0.11603092091049763,0.1003730577049118,0.9903316717801331,254,0.116031,0.100373,0.006844,2486,8.4465955,10.0285405,0,0.845,0.993,21010.0,0.006139,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14/replicate_0.log,2026-08-16T15:19:16.002355+00:00
enc0_all16,Enc0 all-channel control,enc0:all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,PASS,Completed the full matched RGB-D sequence,125.35811599599992,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.13962591526620494,0.11770397768897664,0.08279076908816636,0.29499462473518434,0.07510772164110913,3.9414694102560053,3.7545357679717246,6.675013946900292,0.00446614359282335,0.02308645545799768,0.23165014450817276,0.9645920477350344,0.13738528674277933,0.11776839100347905,0.9880601397724991,0.1218177697940077,0.10523780087931102,0.9917961068705015,254,0.121818,0.105238,0.006738,2486,33.562031000000005,41.11570675,0,0.855,0.993,9971.0,0.00285,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_all16/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_all16/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_all16/replicate_0.log,2026-08-16T15:21:22.091696+00:00
enc0_bqs_top5_d00_d03_d10_d14_d15,"Enc0 historical BQS-selected top-5 control, re-evaluated by direct full sequence","enc0:0,3,10,14,15","[0, 3, 10, 14, 15]",0,PASS,Completed the full matched RGB-D sequence,123.33195712399993,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1727739395049268,0.14268632000186804,0.09528451784095064,0.37422551573251633,0.09742406405183794,4.842261865190189,4.554208675849073,8.250942734531987,0.004605688843491362,0.026133117555436108,0.23201005877861983,0.9629315165349509,0.16959112257380882,0.14322508223619201,0.9842227294342774,0.14855231062609137,0.12665977387010058,0.9889626123899556,253,0.148552,0.12666,0.007413,2486,8.613053,10.81301225,0,0.855,0.993,5727.0,0.002965,0,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc0_bqs_top5_d00_d03_d10_d14_d15/replicate_0.log,2026-08-16T15:23:26.157576+00:00
enc1_k02_d00_d05,Enc1 minimum viable two-channel configuration,"enc1:0,5","[0, 5]",0,PASS,Completed the full matched RGB-D sequence,133.39013640200028,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.20330166823496637,0.1627015047252634,0.09958353809971174,0.4299220984542326,0.12190073284133866,5.664196512532839,5.190583959168518,8.873471580301716,0.0057268815926017295,0.0326233591306935,0.22993439641424124,0.8522142699398638,0.1981332465204409,0.1647092059938993,0.9783329749637538,0.17288343406120332,0.14447587027309494,0.9833823076882784,247,0.172883,0.144476,0.008833,2486,3.1533805,3.684693,0,0.846,0.993,14110.0,0.007507,37,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc1_k02_d00_d05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc1_k02_d00_d05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc1_k02_d00_d05/replicate_0.log,2026-08-16T15:25:40.305834+00:00
enc1_global_rank03_k04_d00_d05_d18_d30,Enc1 global rank 3; best fixed four-channel configuration,"enc1:0,5,18,30","[0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,141.53991418099986,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.2178660288054636,0.17553696078829606,0.10724565292708396,0.46624582085044286,0.1290441083686943,6.185393631961642,5.799395527926809,9.597110222345817,0.005395253585241378,0.027390766755808076,0.23143900283124208,0.8962171463033959,0.21283353283648296,0.1771680266742923,0.9778493096856352,0.18621466031532416,0.15583276381297098,0.9834684357528813,247,0.186215,0.155833,0.008702,2486,9.078093500000001,11.036493,0,0.844,0.993,13870.0,0.007442,2,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc1_global_rank03_k04_d00_d05_d18_d30/replicate_0.log,2026-08-16T15:28:02.588528+00:00
enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,Enc1 global rank 1 / accuracy-first configuration,"enc1:5,6,17,18,28,30","[5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,150.83787435400018,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.19733938674024826,0.16592018886802776,0.10411654682908464,0.41185828829834814,0.10683316191621056,6.1480830477818,5.827180674774527,9.205932641402887,0.004667123773993407,0.02743934590405714,0.23580087892510498,1.0423532312116064,0.19487072653006446,0.16688754806455786,0.9850985012086924,0.17290958915326796,0.14959180074622674,0.9905920416049065,249,0.17291,0.149592,0.007358,2486,31.935982000000003,52.72634875,0,0.844,0.993,9666.0,0.005992,4,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_m_unet_multi_dataset_evaluation/per_dataset/fr3_long_office_household_flashlight/artifacts/enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30/replicate_0.log,2026-08-16T15:30:34.157887+00:00
