stage,label,replicate,candidate_key,channels_json,source_label,role,metadata_json,created_at
anchors,bqs_historical_top3,0,"0,10,15","[0, 10, 15]",bqs_historical_top3,"0621 BQS-ranked enc0 Top-3 [d15,d10,d0], re-evaluated on this protocol","{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-15T14:49:45.638289+00:00
anchors,bqs_historical_top5,0,"0,3,10,14,15","[0, 3, 10, 14, 15]",bqs_historical_top5,"0621 BQS-ranked enc0 Top-5 [d15,d10,d0,d14,d3], direct ATE control","{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-15T14:49:45.644698+00:00
anchors,gray_current,0,gray,,gray_current,current photometric gray control,"{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-15T14:49:45.610528+00:00
anchors,unet_enc0_all16,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",unet_enc0_all16,unselected UNet enc0 all16-channel control,"{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-15T14:49:45.631729+00:00
direct_greedy,g_pair_seed_sweep_d00_d01,0,"0,1","[0, 1]",g_pair_seed_sweep_d00_d01,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:50:03.661347+00:00
direct_greedy,g_pair_seed_sweep_d00_d02,0,"0,2","[0, 2]",g_pair_seed_sweep_d00_d02,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:50:49.689033+00:00
direct_greedy,g_pair_seed_sweep_d00_d03,0,"0,3","[0, 3]",g_s01_k02_from_d03_add_d00,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:50:49.698289+00:00
direct_greedy,g_pair_seed_sweep_d00_d04,0,"0,4","[0, 4]",g_pair_seed_sweep_d00_d04,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:51:36.028282+00:00
direct_greedy,g_pair_seed_sweep_d00_d05,0,"0,5","[0, 5]",g_pair_seed_sweep_d00_d05,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:52:28.795460+00:00
direct_greedy,g_pair_seed_sweep_d00_d06,0,"0,6","[0, 6]",g_pair_seed_sweep_d00_d06,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:52:48.716569+00:00
direct_greedy,g_pair_seed_sweep_d00_d07,0,"0,7","[0, 7]",g_pair_seed_sweep_d00_d07,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:53:35.634613+00:00
direct_greedy,g_pair_seed_sweep_d00_d08,0,"0,8","[0, 8]",g_pair_seed_sweep_d00_d08,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:54:25.858069+00:00
direct_greedy,g_pair_seed_sweep_d00_d09,0,"0,9","[0, 9]",g_pair_seed_sweep_d00_d09,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:55:12.970007+00:00
direct_greedy,g_pair_seed_sweep_d00_d10,0,"0,10","[0, 10]",g_pair_seed_sweep_d00_d10,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:55:57.829168+00:00
direct_greedy,g_pair_seed_sweep_d00_d11,0,"0,11","[0, 11]",g_pair_seed_sweep_d00_d11,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:56:17.066157+00:00
direct_greedy,g_pair_seed_sweep_d00_d12,0,"0,12","[0, 12]",g_pair_seed_sweep_d00_d12,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:56:35.404796+00:00
direct_greedy,g_pair_seed_sweep_d00_d13,0,"0,13","[0, 13]",g_pair_seed_sweep_d00_d13,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:57:21.207213+00:00
direct_greedy,g_pair_seed_sweep_d00_d14,0,"0,14","[0, 14]",g_pair_seed_sweep_d00_d14,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:57:47.094002+00:00
direct_greedy,g_pair_seed_sweep_d00_d15,0,"0,15","[0, 15]",g_pair_seed_sweep_d00_d15,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:58:06.794724+00:00
direct_greedy,g_pair_seed_sweep_d01_d02,0,"1,2","[1, 2]",g_pair_seed_sweep_d01_d02,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:58:53.931918+00:00
direct_greedy,g_pair_seed_sweep_d01_d03,0,"1,3","[1, 3]",g_s01_k02_from_d03_add_d01,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:58:53.943367+00:00
direct_greedy,g_pair_seed_sweep_d01_d04,0,"1,4","[1, 4]",g_pair_seed_sweep_d01_d04,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:59:41.675455+00:00
direct_greedy,g_pair_seed_sweep_d01_d05,0,"1,5","[1, 5]",g_pair_seed_sweep_d01_d05,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T14:59:52.587529+00:00
direct_greedy,g_pair_seed_sweep_d01_d06,0,"1,6","[1, 6]",g_pair_seed_sweep_d01_d06,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:00:51.012203+00:00
direct_greedy,g_pair_seed_sweep_d01_d07,0,"1,7","[1, 7]",g_pair_seed_sweep_d01_d07,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:01:40.828733+00:00
direct_greedy,g_pair_seed_sweep_d01_d08,0,"1,8","[1, 8]",g_pair_seed_sweep_d01_d08,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:02:32.545621+00:00
direct_greedy,g_pair_seed_sweep_d01_d09,0,"1,9","[1, 9]",g_pair_seed_sweep_d01_d09,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:03:21.353048+00:00
direct_greedy,g_pair_seed_sweep_d01_d10,0,"1,10","[1, 10]",g_pair_seed_sweep_d01_d10,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:04:06.574978+00:00
direct_greedy,g_pair_seed_sweep_d01_d11,0,"1,11","[1, 11]",g_pair_seed_sweep_d01_d11,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:04:26.601034+00:00
direct_greedy,g_pair_seed_sweep_d01_d12,0,"1,12","[1, 12]",g_pair_seed_sweep_d01_d12,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:04:36.197497+00:00
direct_greedy,g_pair_seed_sweep_d01_d13,0,"1,13","[1, 13]",g_pair_seed_sweep_d01_d13,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:05:25.115630+00:00
direct_greedy,g_pair_seed_sweep_d01_d14,0,"1,14","[1, 14]",g_pair_seed_sweep_d01_d14,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:05:44.613723+00:00
direct_greedy,g_pair_seed_sweep_d01_d15,0,"1,15","[1, 15]",g_pair_seed_sweep_d01_d15,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:06:43.625791+00:00
direct_greedy,g_pair_seed_sweep_d02_d03,0,"2,3","[2, 3]",g_s01_k02_from_d03_add_d02,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:06:43.636067+00:00
direct_greedy,g_pair_seed_sweep_d02_d04,0,"2,4","[2, 4]",g_pair_seed_sweep_d02_d04,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:07:29.975220+00:00
direct_greedy,g_pair_seed_sweep_d02_d05,0,"2,5","[2, 5]",g_pair_seed_sweep_d02_d05,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:08:16.724327+00:00
direct_greedy,g_pair_seed_sweep_d02_d06,0,"2,6","[2, 6]",g_pair_seed_sweep_d02_d06,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:09:02.792239+00:00
direct_greedy,g_pair_seed_sweep_d02_d07,0,"2,7","[2, 7]",g_pair_seed_sweep_d02_d07,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:09:50.605010+00:00
direct_greedy,g_pair_seed_sweep_d02_d08,0,"2,8","[2, 8]",g_pair_seed_sweep_d02_d08,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:10:37.198989+00:00
direct_greedy,g_pair_seed_sweep_d02_d09,0,"2,9","[2, 9]",g_pair_seed_sweep_d02_d09,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:11:23.679725+00:00
direct_greedy,g_pair_seed_sweep_d02_d10,0,"2,10","[2, 10]",g_pair_seed_sweep_d02_d10,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:12:08.039847+00:00
direct_greedy,g_pair_seed_sweep_d02_d11,0,"2,11","[2, 11]",g_pair_seed_sweep_d02_d11,exhaustive two-channel full-sequence seed sweep (only_1_singleton_passes_for_4_planned_starts),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": false, ""sweep_reason"": ""only_1_singleton_passes_for_4_planned_starts""}",2026-08-15T15:12:54.330186+00:00
