label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_baseline,Photometric grayscale baseline; no learned tracking features.,gray,,0,PASS,Completed the full matched RGB-D sequence,159.56914655902074,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3260986113512527,0.2573494714033454,0.2045991842526586,0.6664465264052785,0.20027869056301023,11.426283467110254,10.692205178387754,19.088292480907445,0.004805224133360961,0.09294145745069478,0.2861062356221022,2.7524635114547538,0.30951486164229647,0.26599611501769027,0.9441218657047247,0.07189182374350285,0.048181770021100905,1.0563429408771907,470,0.071207,0.046496,0.041326,2891,1.746711,2.3730965,0,0.901,1.0,5806.0,0.004023,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/gray_baseline/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/gray_baseline/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/gray_baseline/replicate_0.log,2026-08-23T13:43:13.709900+00:00
resnet_layer2_direct_c4_d67_d108_d121,"Direct coarse parent C4, selected because it is the coarse component of the global C2F optimum.","resnet:direct:layer2:67,108,121","[67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,167.27476465399377,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.8983100768370339,0.7586541341872304,0.6187971839483767,1.923991014267763,0.48104563071249445,38.21471652630359,34.4019972143441,70.84882816005495,0.013926735110254069,0.3418879274371117,0.44040295600851853,10.245267905263008,0.8735763084097677,0.7799564744399723,0.8796626907580739,0.2539429222983312,0.17090088514965368,1.3491434280837926,467,0.256097,0.170487,0.156608,2891,4.016717,4.447003,0,0.896,1.0,2226.0,0.005685,318,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.log,2026-08-23T13:46:01.915208+00:00
resnet_layer2_direct_c5_d108_d121,"Direct coarse parent C5, selected because it produces the strongest C2F synergy with F6.","resnet:direct:layer2:108,121","[108, 121]",0,PASS,Completed the full matched RGB-D sequence,171.03648258800968,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.805000545875966,0.6889138853922622,0.5741172766403131,1.7348588685568904,0.4164415173518849,34.993242578101196,32.327677638552224,60.73456472763078,0.013462403818194992,0.2751145719405899,0.4330685082044744,7.971673019621687,0.7929764828672482,0.7064307635298728,0.9190426069973963,0.23564769786861026,0.16706854383544342,1.3288396410004193,467,0.237431,0.166514,0.134321,2891,2.798069,3.14311,0,0.906,1.0,2646.0,0.007828,257,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.log,2026-08-23T13:48:53.881689+00:00
resnet_conv1_direct_f1_d15_d20_d26_d34,Direct fine parent F1: global direct Conv1 optimum on fr1/desk_lightswitch.,"resnet:direct:conv1:15,20,26,34","[15, 20, 26, 34]",0,PASS,Completed the full matched RGB-D sequence,163.74316957200062,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3598333190240373,0.2888577509288214,0.2343067295241946,0.7569050063547166,0.21457217249260813,13.580933448971216,12.915800496865382,21.51657229178846,0.005207560620904658,0.11374382205616627,0.28267790328836634,2.6704543524730773,0.3477489788922394,0.30105921322245244,0.949189904004778,0.07888379567098493,0.049320559814417304,1.0724475177317236,469,0.077662,0.046507,0.048176,2891,8.501911,10.0827615,0,0.899,1.0,9713.0,0.006565,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.log,2026-08-23T13:51:38.565108+00:00
resnet_conv1_direct_f2_d23_d24_d26_d51_d63,"Direct fine parent F2, used by both A/B schedule tests of the global C2F pair.","resnet:direct:conv1:23,24,26,51,63","[23, 24, 26, 51, 63]",0,PASS,Completed the full matched RGB-D sequence,160.79962290398544,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.38359786516661315,0.30404669000075685,0.23678109403400796,0.8491217111462559,0.23388658033321788,15.004557979478355,14.01412000427602,26.965743459378544,0.005715333384689518,0.09439949563326608,0.2961478872251115,3.248343985438866,0.37013290814047917,0.3176652081521832,0.9447542456725216,0.09168677996066327,0.06269469130464085,1.1076030004754285,470,0.089363,0.058846,0.053289,2891,8.41612,9.943633,0,0.9,1.0,12000.0,0.006829,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.log,2026-08-23T13:54:20.280042+00:00
resnet_conv1_direct_f6_d29_d33_d52,"Direct fine parent F6, included because it has the largest observed C2F gain with C5.","resnet:direct:conv1:29,33,52","[29, 33, 52]",0,PASS,Completed the full matched RGB-D sequence,160.52222814399283,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.6250789839765488,0.516752023715228,0.4259000779865753,1.3230833324592997,0.3516974298958851,22.336677114303452,20.88973479503381,34.11268293886976,0.008962138842832862,0.2773685952556063,0.2975913723167569,3.4299018982749443,0.5952571159869708,0.5275676047571742,0.8968414364126815,0.12432240093662092,0.06563949729528183,1.129760474608487,470,0.123711,0.061388,0.091514,2891,3.580678,4.364125,0,0.895,1.0,4658.0,0.005099,22,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.log,2026-08-23T13:57:01.733134+00:00
resnet_c2f_b_f1_c4_negative_high_parent,C2F-B negative high-parent control: worse than direct global Conv1 optimum F1 on fr1 lightswitch.,"resnet:c2f:B:fine15,20,26,34:coarse67,108,121","[15, 20, 26, 34, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,181.2189330069814,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3608774882498156,0.2895091940876718,0.23959686011995723,0.7618792280760094,0.215446021230847,13.654983888844047,12.979142941804657,21.67192212425317,0.005208175618984822,0.11410357037399425,0.28296342669831287,2.720808397426072,0.34862519134803416,0.3019842845439272,0.9487852494403286,0.07930244976271202,0.04988020754438066,1.0730886116405733,469,0.078042,0.047003,0.04788,2891,8.503809,10.079981,0,0.899,1.0,9714.0,0.007275,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.log,2026-08-23T14:00:03.881843+00:00
resnet_c2f_a_f2_c4_variant_negative,C2F-A schedule control: slightly worse than direct F2 on fr1 lightswitch.,"resnet:c2f:A:fine23,24,26,51,63:coarse67,108,121","[23, 24, 26, 51, 63, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,189.05610159097705,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.4326796464897231,0.3454748968278925,0.2872711381056268,0.9669302490665076,0.2604971634168572,16.883052348995985,15.643583550908568,30.835381004493737,0.0065720056508024064,0.10102982161360892,0.3100822858424961,3.721909652666847,0.418384347820852,0.3609622760962236,0.9394620043096212,0.10038608890241811,0.06763757950645458,1.1271195475949023,470,0.099701,0.065081,0.057753,2891,8.369026,9.9083355,0,0.9,1.0,12270.0,0.007306,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.log,2026-08-23T14:03:13.868098+00:00
resnet_c2f_b_f2_c4_global_best,C2F-B global ResNet C2F optimum on fr1 lightswitch; compare against both direct parents.,"resnet:c2f:B:fine23,24,26,51,63:coarse67,108,121","[23, 24, 26, 51, 63, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,178.68760442902567,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3800103145438365,0.3004488525415916,0.2421583837331959,0.8469795818335757,0.2326764409349312,14.911040763404264,13.918412576160287,26.906880580780115,0.005603068516485792,0.09245055077030498,0.2955932558885877,3.3001638577104586,0.36635309827487417,0.31418923280875655,0.9446649944194354,0.09106748469923269,0.06252323373777141,1.1075227206844107,470,0.088704,0.058665,0.05178,2891,8.422791,9.955473999999999,0,0.9,1.0,12000.0,0.007381,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.log,2026-08-23T14:06:13.473859+00:00
resnet_c2f_a_f6_c5_positive_synergy,C2F-A positive synergy case: 32.9% lower fr1-lightswitch ATE than direct F6.,"resnet:c2f:A:fine29,33,52:coarse108,121","[29, 33, 52, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,190.62936581700342,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.6210707164865042,0.507998083779418,0.3940458762752236,1.324950351986751,0.35730488627151336,22.608937856649572,21.02447241150409,35.53530238112236,0.008672753783404286,0.24772399056927172,0.30737990229513007,4.181084301580432,0.5936921312909567,0.5220322276167904,0.9009637477923272,0.1266114343103136,0.0679169690377244,1.1350253960674854,470,0.12605,0.063833,0.090134,2891,3.583837,4.3629375,0,0.902,1.0,4513.0,0.024016,23,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_flashlight/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.log,2026-08-23T14:09:25.048406+00:00
